Name , Birth Month , Birth Day , Birth Year , Birth City , Birth State , Dead , Death Date , Age
Subrata Guha , January , 31 , 1946 , Calcutta (now Kolkata) , Bengal , 1 , November 5 2003 , 57  years 0 days
Ramesh Saxena , September , 20 , 1944 , Delhi , Delhi , 1 , August 16 2011 , 67  years 0 days
Syed Abid Ali , September , 9 , 1941 , Hyderabad , Andhra Pradesh , 0 , NA , 75 years 223 days
Umesh Kulkarni , March , 7 , 1942 , Alibagh , Maharashtra , 0 , NA , 75 years 44 days
Chetan Chauhan , July , 21 , 1947 , Bareilly , Uttar Pradesh , 0 , NA , 69 years 273 days
Ashok Mankad , October , 12 , 1946 , Bombay (now Mumbai) , Maharashtra , 1 , August 1 2008 , 62  years 0 days
Ajit Pai , April , 28 , 1945 , Bombay (now Mumbai) , Maharashtra , 0 , NA , 71 years 357 days
Ambar Roy , June , 5 , 1945 , Calcutta (now Kolkata) , Bengal , 1 , September 19 1997 , 52  years 0 days
Ashok Gandotra , November , 24 , 1948 , Rio de Janeiro , Brazil , 0 , NA , 68 years 147 days
Eknath Solkar , March , 18 , 1948 , Bombay (now Mumbai) , Maharashtra , 1 , June 26 2005 , 57  years 0 days
Gundappa Viswanath , February , 12 , 1949 , Bhadravati , Mysore , 0 , NA , 68 years 67 days
Mohinder Amarnath , September , 24 , 1950 , Patiala , Punjab , 0 , NA , 66 years 208 days
Kenia Jayantilal , January , 13 , 1948 , Hyderabad , Andhra Pradesh , 0 , NA , 69 years 97 days
Pochiah Krishnamurthy , July , 12 , 1947 , Hyderabad , Andhra Pradesh , 1 , January 28 1999 , 52  years 0 days
Sunil Gavaskar , July , 10 , 1949 , Bombay (now Mumbai) , Maharashtra , 0 , NA , 67 years 284 days
Ramnath Parkar , October , 31 , 1946 , Bombay (now Mumbai) , Maharashtra , 1 , August 11 1999 , 53  years 0 days
Madan Lal , March , 20 , 1951 , Amritsar , Punjab , 0 , NA , 66 years 31 days
Brijesh Patel , November , 24 , 1952 , Baroda , Gujarat , 0 , NA , 64 years 147 days
Sudhir Naik , February , 21 , 1945 , Bombay (now Mumbai) , Maharashtra , 0 , NA , 72 years 58 days
Hemant Kanitkar , December , 8 , 1942 , Amravati , Maharashtra , 1 , June 9 2015 , 73  years 0 days
Parthasarthi Sharma , January , 5 , 1948 , Alwar , Rajasthan , 1 , October 20 NA , NA  years 0 days
Anshuman Gaekwad , September , 23 , 1952 , Bombay (now Mumbai) , Maharashtra , 0 , NA , 64 years 209 days
Karsan Ghavri , February , 28 , 1951 , Rajkot , Gujarat , 0 , NA , 66 years 51 days
Surinder Amarnath , December , 30 , 1948 , Kanpur , Uttar Pradesh , 0 , NA , 68 years 111 days
Syed Kirmani , December , 29 , 1949 , Madras (now Chennai) , Madras (now Chennai) , 0 , NA , 67 years 112 days
Dilip Vengsarkar , April , 6 , 1956 , Rajapur , Maharashtra , 0 , NA , 61 years 14 days
Yajurvindra Singh , August , 1 , 1952 , Rajkot , Gujarat , 0 , NA , 64 years 262 days
Kapil Dev , January , 6 , 1959 , Chandigarh , Chandigarh , 0 , NA , 58 years 104 days
Bobjee Narasimha Rao , August , 11 , 1954 , Secunderabad , Andhra Pradesh , 0 , NA , 62 years 252 days
Dhiraj Parsana , December , 2 , 1947 , Rajkot , Gujarat , 0 , NA , 69 years 139 days
Bharath Reddy , November , 12 , 1954 , Madras (now Chennai) , Madras (now Chennai) , 0 , NA , 62 years 159 days
Yashpal Sharma , August , 11 , 1954 , Ludhiana , Punjab , 0 , NA , 62 years 252 days
Dilip Doshi , December , 22 , 1947 , Rajkot , Gujarat , 0 , NA , 69 years 119 days
Shivlal Yadav , January , 26 , 1957 , Hyderabad , Andhra Pradesh , 0 , NA , 60 years 84 days
Roger Binny , July , 19 , 1955 , Bangalore , Karnataka , 0 , NA , 61 years 275 days
Sandeep Patil , August , 18 , 1956 , Bombay (now Mumbai) , Maharashtra , 0 , NA , 60 years 245 days
Kirti Azad , January , 2 , 1959 , Purnea , Bihar , 0 , NA , 58 years 108 days
Ravi Shastri , May , 27 , 1962 , Bombay (now Mumbai) , Maharashtra , 0 , NA , 54 years 328 days
Yograj Singh , March , 25 , 1958 , Chandigarh , Chandigarh , 0 , NA , 59 years 26 days
Tirumalai Srinivasan , October , 26 , 1950 , Madras (now Chennai) , Madras (now Chennai) , 1 , December 6 NA , NA  years 0 days
Kris Srikkanth , December , 21 , 1959 , Madras (now Chennai) , Madras (now Chennai) , 0 , NA , 57 years 120 days
Ashok Malhotra , January , 26 , 1957 , Amritsar , Punjab , 0 , NA , 60 years 84 days
Pranab Roy , February , 10 , 1957 , Calcutta (now Kolkata) , Bengal , 0 , NA , 60 years 69 days
Ghulam Parkar , October , 25 , 1955 , Kaluste , Maharashtra , 0 , NA , 61 years 177 days
