Name , Birth Month , Birth Day , Birth Year , Birth City , Birth State , Dead , Death Date , Age
Robin Singh , January , 1 , 1970 , Delhi , Delhi , 0 , NA , 47 years 109 days
Sadagoppan Ramesh , October , 16 , 1975 , Madras (now Chennai) , Tamil Nadu , 0 , NA , 41 years 186 days
Ashish Nehra , April , 29 , 1979 , Delhi , Delhi , 0 , NA , 37 years 356 days
Devang Gandhi , September , 6 , 1971 , Bhavnagar , Gujarat , 0 , NA , 45 years 226 days
Mannava Prasad , April , 24 , 1975 , Guntur , Andhra Pradesh , 0 , NA , 41 years 361 days
Vijay Bharadwaj , August , 15 , 1975 , Bangalore , Karnataka , 0 , NA , 41 years 248 days
Hrishikesh Kanitkar , November , 14 , 1974 , Pune , Maharashtra , 0 , NA , 42 years 157 days
Wasim Jaffer , February , 16 , 1978 , Bombay (now Mumbai) , Maharashtra , 0 , NA , 39 years 63 days
Murali Kartik , September , 11 , 1976 , Madras (now Chennai) , Tamil Nadu , 0 , NA , 40 years 221 days
Nikhil Chopra , December , 26 , 1973 , Allahabad , Uttar Pradesh , 0 , NA , 43 years 115 days
Mohammad Kaif , December , 1 , 1980 , Allahabad , Uttar Pradesh , 0 , NA , 36 years 140 days
Shiv Sunder Das , November , 5 , 1977 , Bhubaneswar , Orissa , 0 , NA , 39 years 166 days
Saba Karim , November , 14 , 1967 , Patna , Bihar , 0 , NA , 49 years 157 days
Zaheer Khan , October , 7 , 1978 , Shrirampur , Maharashtra , 0 , NA , 38 years 195 days
Vijay Dahiya , May , 10 , 1973 , Delhi , Delhi , 0 , NA , 43 years 345 days
Sarandeep Singh , October , 21 , 1979 , Amritsar , Punjab , 0 , NA , 37 years 181 days
Rahul Sanghvi , September , 3 , 1974 , Surat , Gujarat , 0 , NA , 42 years 229 days
Sairaj Bahutule , January , 6 , 1973 , Bombay (now Mumbai) , Maharashtra , 0 , NA , 44 years 104 days
Sameer Dighe , October , 8 , 1968 , Bombay (now Mumbai) , Maharashtra , 0 , NA , 48 years 194 days
Hemang Badani , November , 14 , 1976 , Madras (now Chennai) , Tamil Nadu , 0 , NA , 40 years 157 days
Deep Dasgupta , June , 7 , 1977 , Calcutta (now Kolkata) , Bengal , 0 , NA , 39 years 317 days
Virender Sehwag , October , 20 , 1978 , Delhi , Delhi , 0 , NA , 38 years 182 days
Sanjay Bangar , October , 11 , 1972 , Bid , Maharashtra , 0 , NA , 44 years 191 days
Iqbal Siddiqui , December , 26 , 1974 , Aurangabad , Maharashtra , 0 , NA , 42 years 115 days
Tinu Yohannan , February , 18 , 1979 , Quilon (now Kollam) , Kerala , 0 , NA , 38 years 61 days
Ajay Ratra , December , 13 , 1981 , Faridabad , Haryana , 0 , NA , 35 years 128 days
Parthiv Patel , March , 9 , 1985 , Ahmedabad , Gujarat , 0 , NA , 32 years 42 days
Lakshmipathy Balaji , September , 27 , 1981 , Madras (now Chennai) , Tamil Nadu , 0 , NA , 35 years 205 days
Aakash Chopra , September , 19 , 1977 , Agra , Uttar Pradesh , 0 , NA , 39 years 213 days
Yuvraj Singh , December , 12 , 1981 , Chandigarh , Chandigarh , 0 , NA , 35 years 129 days
Irfan Pathan , October , 27 , 1984 , Baroda , Gujarat , 0 , NA , 32 years 175 days
Gautam Gambhir , October , 14 , 1981 , Delhi , Delhi , 0 , NA , 35 years 188 days
Dinesh Karthik , June , 1 , 1985 , Madras (now Chennai) , Tamil Nadu , 0 , NA , 31 years 323 days
MS Dhoni , July , 7 , 1981 , Ranchi , Bihar (now Jharkhand) , 0 , NA , 35 years 287 days
RP Singh , December , 6 , 1985 , Rae Bareli , Uttar Pradesh , 0 , NA , 31 years 135 days
Sreesanth , February , 6 , 1983 , Kothamangalam , Kerala , 0 , NA , 34 years 73 days
Piyush Chawla , December , 24 , 1988 , Aligarh , Uttar Pradesh , 0 , NA , 28 years 117 days
Munaf Patel , July , 12 , 1983 , Ikhar , Gujarat , 0 , NA , 33 years 282 days
Vikram Singh , September , 17 , 1984 , Chandigarh , Punjab| India , 0 , NA , 32 years 215 days
Ramesh Powar , May , 20 , 1978 , Bombay (now Mumbai) , Maharashtra , 0 , NA , 38 years 335 days
Ishant Sharma , September , 2 , 1988 , Delhi , Delhi , 0 , NA , 28 years 230 days
Amit Mishra , November , 24 , 1982 , Delhi , Delhi , 0 , NA , 34 years 147 days
Murali Vijay , April , 1 , 1984 , Chennai , Chennai , 0 , NA , 33 years 19 days
Pragyan Ojha , September , 5 , 1986 , Bhubaneswar , Orissa , 0 , NA , 30 years 227 days
S Badrinath , August , 30 , 1980 , Madras (now Chennai) , Tamil Nadu , 0 , NA , 36 years 233 days
Wriddhiman Saha , October , 24 , 1984 , Shaktigarh , Shaktigarh , 0 , NA , 32 years 178 days
Abhimanyu Mithun , October , 25 , 1989 , Bangalore , Bangalore , 0 , NA , 27 years 177 days
Suresh Raina , November , 27 , 1986 , Muradnagar , Ghaziabad| Uttar Pradesh , 0 , NA , 30 years 144 days
Cheteshwar Pujara , January , 25 , 1988 , Rajkot , Gujarat , 0 , NA , 29 years 85 days
Jaydev Unadkat , October , 18 , 1991 , Porbandar , Porbandar , 0 , NA , 25 years 184 days
Virat Kohli , November , 5 , 1988 , Delhi , Delhi , 0 , NA , 28 years 166 days
Praveen Kumar , October , 2 , 1986 , Meerut , Uttar Pradesh , 0 , NA , 30 years 200 days
Abhinav Mukund , January , 6 , 1990 , Madras (now Chennai) , Tamil Nadu , 0 , NA , 27 years 104 days
Ravichandran Ashwin , September , 17 , 1986 , Madras (now Chennai) , Tamil Nadu , 0 , NA , 30 years 215 days
Umesh Yadav , October , 25 , 1987 , Nagpur , Maharashtra , 0 , NA , 29 years 177 days
Varun Aaron , October , 29 , 1989 , Singhbhum , Bihar (now Jharkhand) , 0 , NA , 27 years 173 days
Vinay Kumar , February , 12 , 1984 , Davanagere , Karnataka , 0 , NA , 33 years 67 days
Ravindra Jadeja , December , 6 , 1988 , Navagam-Khed , Saurashtra , 0 , NA , 28 years 135 days
Bhuvneshwar Kumar , February , 5 , 1990 , Meerut , Uttar Pradesh , 0 , NA , 27 years 74 days
Shikhar Dhawan , December , 5 , 1985 , Delhi , Delhi , 0 , NA , 31 years 136 days
Ajinkya Rahane , June , 6 , 1988 , Ashwi-KD , Maharashtra , 0 , NA , 28 years 318 days
Mohammed Shami , September , 3 , 1990 , Amroha , Uttar Pradesh , 0 , NA , 26 years 229 days
Rohit Sharma , April , 30 , 1987 , Bansod , Nagpur| Maharashtra , 0 , NA , 29 years 355 days
Stuart Binny , June , 3 , 1984 , Bangalore , Karnataka , 0 , NA , 32 years 321 days
Pankaj Singh , May , 6 , 1985 , Sultanpur , Uttar Pradesh , 0 , NA , 31 years 349 days
Karn Sharma , October , 23 , 1987 , Meerut , Uttar Pradesh , 0 , NA , 29 years 179 days
Lokesh Rahul , April , 18 , 1992 , Bangalore , Karnataka , 0 , NA , 25 years 2 days
Naman Ojha , July , 20 , 1983 , Ujjain , Madhya Pradesh , 0 , NA , 33 years 274 days
Jayant Yadav , January , 22 , 1990 , Delhi , Delhi , 0 , NA , 27 years 88 days
Karun Nair , December , 6 , 1991 , Jodhpur , Rajasthan , 0 , NA , 25 years 135 days
